iter	MultiClass
0	1.092658806
1	1.085803024
2	1.079959868
3	1.074109105
4	1.06532078
5	1.060663461
6	1.057437563
7	1.054850324
8	1.051658686
9	1.048513364
10	1.043391456
11	1.040720717
12	1.03517585
13	1.029925223
14	1.023031613
15	1.021880912
16	1.018840864
17	1.014946483
18	1.014065472
19	1.011354807
20	1.009397336
21	1.006836392
22	1.00450577
23	1.003596926
24	1.000152558
25	0.9946783117
26	0.9911702232
27	0.9872391267
28	0.985534906
29	0.9837137923
30	0.9795451395
31	0.977688992
32	0.9760388534
33	0.9739143343
34	0.971663741
35	0.9696458298
36	0.9684946324
37	0.9652507592
38	0.963418326
39	0.9618815019
40	0.9606165186
41	0.9593302037
42	0.9583308199
43	0.9570621155
44	0.9557852904
45	0.9540118934
46	0.9524980795
47	0.9499129571
48	0.9479646356
49	0.9465128018
50	0.9454250507
51	0.9440733648
52	0.9427710776
53	0.942207525
54	0.9407565899
55	0.9387071616
56	0.9377200156
57	0.9365040453
58	0.9355808855
59	0.9347193481
60	0.9336762909
61	0.9327150286
62	0.9317978971
63	0.9308993738
64	0.9300517574
65	0.9288477643
66	0.9273942374
67	0.9265450105
68	0.9256134037
69	0.9249431235
70	0.9244446026
71	0.9235512336
72	0.9233345144
73	0.9227713119
74	0.9222795048
75	0.9214761276
76	0.9205243564
77	0.9200365852
78	0.9196514081
79	0.9189212142
80	0.9183690306
81	0.9180161806
82	0.9176313821
83	0.916510799
84	0.9159788398
85	0.9156296509
86	0.9151735929
87	0.9143193346
88	0.9136065722
89	0.9130503725
90	0.9124288382
91	0.9120122288
92	0.9117260337
93	0.9113199699
94	0.9107924903
95	0.909535858
96	0.9091677092
97	0.9081461981
98	0.9077006192
99	0.9071142702
100	0.9067901486
101	0.9063602729
102	0.9060540348
103	0.9057930398
104	0.9054338956
105	0.9049774571
106	0.9042762632
107	0.9038494712
108	0.903462325
109	0.9031776818
110	0.9029557369
111	0.9024836473
112	0.9021821975
113	0.9016031181
114	0.900350416
115	0.8999515761
116	0.8991459183
117	0.8985132258
118	0.8978625642
119	0.8971966744
120	0.8968375305
121	0.8963295536
122	0.8959844487
123	0.8953992057
124	0.8949453466
125	0.894573682
126	0.8936299321
127	0.8933240724
128	0.8929773105
129	0.8925080527
130	0.8922412142
131	0.8918738102
132	0.891223731
133	0.8908680028
134	0.8903657285
135	0.8896556068
136	0.8893160647
137	0.8889067911
138	0.8879910199
139	0.887597528
140	0.8871065194
141	0.8866048164
142	0.886342325
143	0.8859878613
144	0.8857140357
145	0.8854831149
146	0.8851087518
147	0.8847775885
148	0.8845966223
149	0.8840707566
150	0.8836642366
151	0.8833422976
152	0.8829350106
153	0.8823071836
154	0.8819383684
155	0.8816658031
156	0.8813555795
157	0.8810746867
158	0.8805150798
159	0.8802459296
160	0.8799700234
161	0.8796767906
162	0.879480444
163	0.87923217
164	0.8789842461
165	0.87862634
166	0.8779634358
167	0.8775186018
168	0.8771861194
169	0.8768384511
170	0.8767020007
171	0.8764003799
172	0.8760948184
173	0.875893863
174	0.8757309154
175	0.8754353196
176	0.8751763811
177	0.8748603731
178	0.8745771897
179	0.8743245797
180	0.8740237727
181	0.8737788175
182	0.8735589523
183	0.8733328534
184	0.8730192892
185	0.8727404252
186	0.8723908739
187	0.8721448605
188	0.8720477935
189	0.8717482092
190	0.8714911931
191	0.8712374168
192	0.8709065896
193	0.8706738393
194	0.8704484456
195	0.8700847047
196	0.8699025199
197	0.8696977634
198	0.8694542973
199	0.8693077666
200	0.8691360169
201	0.8689200672
202	0.868672385
203	0.8684466746
204	0.8681808501
205	0.8678895359
206	0.8675915475
207	0.8672354299
208	0.86711028
209	0.8669454204
210	0.8667936665
211	0.8665462283
212	0.8663841009
213	0.8661361477
214	0.8659165883
215	0.8657387563
216	0.8655152444
217	0.8653396833
218	0.8650227516
219	0.8648044655
220	0.8647197854
221	0.8644789409
222	0.8642458685
223	0.8641441574
224	0.8639989503
225	0.8638031889
226	0.8635964398
227	0.8634162642
228	0.8633221638
229	0.8632461711
230	0.8630134897
231	0.8628407422
232	0.862542499
233	0.862394488
234	0.8621894633
235	0.8619381806
236	0.8617566715
237	0.8616956511
238	0.8614496658
239	0.8611865697
240	0.8610279202
241	0.8607991833
242	0.8606917904
243	0.8605118124
244	0.8602329434
245	0.8600552843
246	0.8598885182
247	0.8597230023
248	0.859584183
249	0.8594576237
250	0.8592776085
251	0.8591401097
252	0.8590429579
253	0.8589453704
254	0.8587310743
255	0.8586427146
256	0.8583269156
257	0.8581572073
258	0.8580119752
259	0.8578607291
260	0.8576549688
261	0.857484342
262	0.8572865649
263	0.8570162547
264	0.8568846023
265	0.8568017954
266	0.8566072703
267	0.8563939265
268	0.8562245221
269	0.8560977081
270	0.855961302
271	0.8556433236
272	0.8554337812
273	0.8552464014
274	0.855035323
275	0.8548461779
276	0.8546709908
277	0.8544549433
278	0.8542787472
279	0.854107896
280	0.8539201702
281	0.8537624904
282	0.8535815126
283	0.8534055772
284	0.8530549842
285	0.8528942133
286	0.8526600956
287	0.852509299
288	0.85229614
289	0.8521661958
290	0.8519658995
291	0.8518388903
292	0.8515576325
293	0.8513785114
294	0.8511391447
295	0.8509621607
296	0.8507242006
297	0.8505316085
298	0.8504316334
299	0.8503058392
300	0.8501796669
301	0.8500363403
302	0.8498697016
303	0.8497517578
304	0.8495315033
305	0.8494633629
306	0.8492538309
307	0.8491095622
308	0.8489485467
309	0.848815456
310	0.8486152973
311	0.8484546403
312	0.8483296301
313	0.8481605688
314	0.8480593347
315	0.8479898438
316	0.8478231392
317	0.8477334122
318	0.8476636372
319	0.8475172704
320	0.8473950309
321	0.8472009191
322	0.8470799421
323	0.8470260063
324	0.846880608
325	0.8468077913
326	0.8467049441
327	0.8465327174
328	0.8464267412
329	0.8463002873
330	0.846178183
331	0.846054592
332	0.8458743264
333	0.8457532767
334	0.8456728907
335	0.8455508679
336	0.8454394722
337	0.8452787313
338	0.8450541714
339	0.8448939688
340	0.8447363584
341	0.8445458655
342	0.8444988334
343	0.8443555611
344	0.844278668
345	0.8441113137
346	0.8440252252
347	0.8437617385
348	0.843605992
349	0.8434275108
350	0.8432982397
351	0.8431579674
352	0.8430323376
353	0.8428991939
354	0.8427525579
355	0.8426405199
356	0.8424944825
357	0.8423599631
358	0.8422907296
359	0.8422094545
