iter	Passed	Remaining
0	190	190401
1	223	111567
2	256	85096
3	286	71283
4	319	63627
5	360	59672
6	398	56553
7	437	54188
8	473	52084
9	512	50716
10	546	49131
11	588	48453
12	625	47506
13	663	46732
14	704	46294
15	742	45640
16	781	45160
17	819	44707
18	856	44214
19	893	43768
20	939	43786
21	990	44027
22	1039	44169
23	1084	44106
24	1145	44667
25	1207	45234
26	1260	45414
27	1319	45822
28	1375	46066
29	1414	45728
30	1455	45495
31	1496	45283
32	1534	44956
33	1569	44594
34	1607	44333
35	1651	44228
36	1691	44017
37	1731	43827
38	1768	43584
39	1803	43295
40	1844	43141
41	1879	42871
42	1918	42707
43	1961	42626
44	1997	42395
45	2035	42205
46	2077	42115
47	2120	42064
48	2163	41994
49	2206	41921
50	2247	41814
51	2286	41685
52	2330	41642
53	2369	41512
54	2416	41524
55	2458	41438
56	2498	41328
57	2544	41318
58	2584	41226
59	2624	41120
60	2660	40959
61	2696	40794
62	2740	40762
63	2780	40662
64	2820	40575
65	2864	40534
66	2908	40499
67	2945	40368
68	2981	40223
69	3019	40114
70	3054	39973
71	3109	40079
72	3147	39972
73	3179	39790
74	3215	39652
75	3254	39561
76	3288	39419
77	3324	39301
78	3358	39149
79	3396	39056
80	3431	38935
81	3470	38849
82	3508	38763
83	3547	38684
84	3586	38607
85	3628	38561
86	3667	38487
87	3711	38464
88	3773	38620
89	3811	38539
90	3852	38485
91	3890	38397
92	3927	38301
93	3965	38216
94	4002	38125
95	4041	38056
96	4076	37950
97	4114	37872
98	4153	37800
99	4187	37684
100	4221	37579
101	4258	37487
102	4293	37390
103	4327	37285
104	4361	37172
105	4399	37109
106	4440	37057
107	4474	36958
108	4506	36834
109	4543	36761
110	4585	36723
111	4622	36646
112	4659	36575
113	4694	36488
114	4733	36431
115	4767	36334
116	4808	36290
117	4840	36177
118	4876	36099
119	4912	36025
120	4951	35967
121	4992	35932
122	5025	35830
123	5065	35782
124	5098	35688
125	5134	35616
126	5178	35596
127	5217	35540
128	5251	35456
129	5285	35373
130	5318	35280
131	5351	35191
132	5385	35104
133	5418	35015
134	5457	34970
135	5497	34924
136	5530	34837
137	5566	34769
138	5604	34717
139	5638	34635
140	5675	34576
141	5709	34496
142	5747	34443
143	5781	34369
144	5818	34307
145	5851	34229
146	5891	34186
147	5930	34141
148	5965	34072
149	6001	34010
150	6038	33950
151	6069	33863
152	6105	33799
153	6144	33755
154	6181	33701
155	6219	33651
156	6256	33596
157	6290	33524
158	6329	33476
159	6363	33409
160	6398	33341
161	6434	33282
162	6477	33259
163	6518	33229
164	6552	33161
165	6586	33089
166	6624	33040
167	6663	33001
168	6703	32964
169	6743	32922
170	6778	32864
171	6818	32823
172	6863	32811
173	6903	32769
174	6946	32747
175	6984	32700
176	7021	32649
177	7059	32601
178	7099	32564
179	7140	32527
180	7183	32502
181	7227	32485
182	7267	32443
183	7307	32405
184	7346	32365
185	7386	32324
186	7421	32267
187	7462	32231
188	7501	32190
189	7544	32165
190	7586	32133
191	7625	32090
192	7671	32077
193	7708	32026
194	7748	31988
195	7788	31950
196	7824	31892
197	7861	31844
198	7899	31796
199	7933	31733
200	7970	31685
201	8009	31640
202	8049	31602
203	8090	31569
204	8128	31524
205	8159	31448
206	8196	31399
207	8233	31350
208	8268	31293
209	8304	31242
210	8350	31224
211	8401	31226
212	8462	31267
213	8511	31262
214	8553	31231
215	8599	31212
216	8643	31188
217	8678	31130
218	8713	31072
219	8750	31026
220	8793	30995
221	8834	30961
222	8873	30916
223	8904	30849
224	8941	30798
225	8978	30749
226	9016	30702
227	9059	30675
228	9100	30638
229	9138	30593
230	9178	30553
231	9224	30535
232	9269	30514
233	9311	30480
234	9350	30439
235	9391	30403
236	9427	30352
237	9461	30293
238	9500	30251
239	9538	30204
240	9574	30153
241	9609	30100
242	9645	30046
243	9681	29996
244	9715	29938
245	9752	29892
246	9796	29864
247	9841	29840
248	9885	29813
249	9923	29771
250	9959	29719
251	9997	29676
252	10039	29643
253	10077	29597
254	10115	29551
255	10151	29501
256	10194	29472
257	10228	29416
258	10266	29372
259	10305	29331
260	10343	29286
261	10380	29238
262	10420	29201
263	10461	29165
264	10499	29121
265	10534	29069
266	10573	29027
267	10613	28990
268	10653	28950
269	10690	28903
270	10726	28853
271	10759	28797
272	10796	28751
273	10842	28729
274	10888	28707
275	10931	28674
276	10969	28630
277	11005	28583
278	11043	28540
279	11084	28504
280	11123	28463
281	11160	28416
282	11203	28384
283	11244	28349
284	11285	28311
285	11324	28272
286	11357	28216
287	11392	28165
288	11432	28127
289	11467	28075
290	11499	28017
291	11535	27969
292	11567	27911
293	11602	27862
294	11634	27804
295	11672	27761
296	11710	27719
297	11739	27655
298	11775	27608
299	11818	27575
300	11863	27548
301	11905	27515
302	11942	27472
303	11982	27433
304	12027	27406
305	12070	27376
306	12111	27340
307	12157	27313
308	12200	27284
309	12246	27259
310	12289	27226
311	12330	27190
312	12371	27153
313	12421	27138
314	12468	27113
315	12510	27078
316	12553	27046
317	12600	27023
318	12640	26984
319	12685	26956
320	12731	26930
321	12768	26885
322	12810	26849
323	12856	26824
324	12900	26792
325	12939	26752
326	12991	26737
327	13043	26722
328	13086	26689
329	13127	26652
330	13169	26616
331	13209	26578
332	13254	26547
333	13297	26514
334	13356	26513
335	13398	26478
336	13447	26456
337	13485	26412
338	13527	26376
339	13575	26352
340	13620	26322
341	13673	26307
342	13713	26267
343	13750	26222
344	13786	26175
345	13823	26128
346	13863	26088
347	13899	26042
348	13933	25990
349	13972	25949
350	14011	25908
351	14051	25866
352	14083	25812
353	14120	25768
354	14157	25723
355	14198	25684
356	14237	25642
357	14276	25601
358	14312	25555
359	14346	25505
360	14382	25459
361	14421	25416
362	14456	25368
363	14492	25322
364	14532	25282
365	14573	25244
366	14612	25203
367	14648	25156
368	14688	25117
369	14723	25070
370	14759	25023
371	14792	24972
372	14834	24935
373	14870	24890
374	14906	24844
375	14947	24806
376	14979	24754
377	15011	24701
378	15046	24653
379	15084	24611
380	15119	24563
381	15154	24517
382	15193	24476
383	15230	24432
384	15263	24381
385	15302	24341
386	15340	24299
387	15385	24267
388	15424	24226
389	15465	24189
390	15503	24147
391	15537	24098
392	15574	24055
393	15607	24004
394	15642	23959
395	15680	23916
396	15718	23875
397	15755	23831
398	15788	23782
399	15826	23739
400	15863	23696
401	15903	23658
402	15937	23609
403	15972	23563
404	16003	23510
405	16039	23466
406	16075	23421
407	16110	23375
408	16143	23327
409	16180	23283
410	16219	23244
411	16253	23197
412	16283	23143
413	16321	23102
414	16357	23058
415	16397	23019
416	16437	22980
417	16473	22936
418	16510	22893
419	16550	22854
420	16585	22809
421	16620	22764
422	16659	22725
423	16695	22680
424	16730	22635
425	16772	22599
426	16811	22560
427	16845	22513
428	16881	22468
429	16914	22421
430	16949	22376
431	16980	22326
432	17018	22284
433	17052	22238
434	17086	22193
435	17121	22148
436	17159	22107
437	17196	22065
438	17234	22024
439	17275	21987
440	17314	21947
441	17349	21902
442	17384	21857
443	17419	21813
444	17458	21774
445	17498	21736
446	17535	21693
447	17566	21645
448	17604	21603
449	17643	21564
450	17685	21527
451	17723	21488
